lga,mean,median,q90,q25,q75,amin,amax,len
001,459014.2506426735,380000.0,740000.0,290000.0,505000.0,300.0,6900000.0,1556
002,590615.5520361991,470000.0,1030000.0,350000.0,760000.0,15000.0,2750000.0,221
004,737840.9930004666,595000.0,957635.0,470000.0,750000.0,755.0,31117000.0,4286
005,526337.906626506,482000.0,759900.0000000001,375000.0,604250.0,100.0,28500000.0,1992
007,334350.2493765586,310000.0,540000.0,240000.0,400000.0,16000.0,1095000.0,401
008,750583.2055857254,620000.0,1260800.0000000002,485000.0,820000.0,1099.0,7250000.0,3867
010,625198.2494266055,560000.0,910000.0,412750.0,733650.0,1000.0,4775000.0,1744
012,571879.010830325,445000.0,908500.0,350000.0,650000.0,90000.0,3721275.0,554
018,542911.4234338747,495000.0,844499.9999999999,354000.0,660000.0,5000.0,3900000.0,862
042,314329.6185185185,270000.0,495500.0,195000.0,376250.0,18000.0,2565420.0,270
043,300520.95238095237,231000.0,459000.0,162500.0,335000.0,40000.0,3203083.0,63
050,379030.2356927711,334750.0,625000.0,230000.0,460000.0,6000.0,2425000.0,1328
051,274938.9430051813,250000.0,458200.0000000001,160000.0,355000.0,16000.0,1265000.0,193
052,319456.3611111111,177500.0,612500.0,87500.0,266250.0,25000.0,2950000.0,36
054,250914.898989899,222000.0,536400.0,100000.0,351000.0,10000.0,720000.0,99
061,285653.0612244898,267500.0,444999.9999999999,198500.0,350000.0,35000.0,665000.0,98
065,276750.2699115044,255500.0,465000.0,176000.0,371875.0,10000.0,675000.0,226
066,229756.41025641025,185000.0,473000.00000000023,123500.0,302000.0,7000.0,649000.0,39
070,193231.46363636362,169000.0,326750.0000000002,120000.0,246250.0,13000.0,675000.0,110
074,392141.8068783069,368750.0,586300.0,290000.0,460000.0,10000.0,1560000.0,378
081,1197283.2914839603,1010000.0,1800000.0,708000.0,1356000.0,1650.0,24500000.0,4333
082,1171527.0381543923,1125000.0,1800000.0,700000.0,1455000.0,6100.0,9900000.0,2254
083,2791867.398340249,2250000.0,5850000.0,1180000.0,3500000.0,100.0,15000000.0,241
084,1986878.852577759,1750000.0,3350000.0,1050000.0,2459500.0,20000.0,15000000.0,2347
085,1759796.5725413826,1145000.0,3086799.9999999995,760000.0,2087500.0,22000.0,17000000.0,1027
087,2766182.0934150075,1795000.0,6340000.000000004,920000.0,3580000.0,22000.0,22000000.0,653
088,1809014.6255458514,1251000.0,2950000.0,881125.0,1950000.0,17647.0,21000000.0,1832
090,849115.6698129546,700000.0,1100000.0,651500.0,925000.0,5750.0,17350000.0,23096
092,1944357.7202859696,1656000.0,3355000.0,998000.0,2600000.0,125000.0,9500000.0,1119
097,639722.9009083402,525000.0,892500.0,400000.0,670000.0,30000.0,24000000.0,1211
098,1046272.8249534451,890000.0,1614000.0000000002,740000.0,1145000.0,24750.0,5500000.0,537
100,666543.1447910536,622500.0,931000.0000000002,529000.0,752500.0,690.0,3500000.0,1699
101,670962.1533189033,575000.0,1054500.0000000005,442375.0,760000.0,20000.0,5900000.0,2772
102,1086515.5615658362,815000.0,2000000.0,612000.0,1280000.0,630.0,9350000.0,1405
103,756867.9641893549,660000.0,1150000.0,530000.0,841000.0,6300.0,38500000.0,4077
109,484046.52582159627,372000.0,928000.0000000001,233000.0,590000.0,2410.0,2360000.0,213
116,316489.25925925927,291250.0,500000.0,210000.0,400000.0,13000.0,1400000.0,270
117,334372.44897959183,306500.0,550000.0,225000.0,418500.0,35000.0,1237500.0,196
118,404073.14814814815,342500.0,713000.0000000003,260000.0,480000.0,100.0,2050000.0,162
123,515324.48979591834,410000.0,904499.9999999998,319250.0,570000.0,29000.0,2600000.0,98
124,514198.1638576779,459000.0,755000.0,360000.0,600000.0,3000.0,12705000.0,1068
137,1181548.494117647,930000.0,1717600.0000000002,730000.0,1120000.0,104500.0,23000000.0,765
139,1473563.1745406825,1177500.0,2500000.0,830000.0,1850000.0,13000.0,12100000.0,1524
143,1025185.8903985508,700000.0,2183200.000000001,615000.0,950000.0,109000.0,6305000.0,1104
144,1158406.8221203915,975000.0,1800000.0,720000.0,1336000.0,975.0,11100000.0,4801
148,796076.8876170656,685000.0,1255000.0,515000.0,910000.0,60000.0,6500000.0,961
149,615847.4945054945,580000.0,939000.0,450000.0,720000.0,85000.0,2000000.0,273
150,1261902.6268343816,960000.0,2150000.0,730000.0,1413750.0,4500.0,22000000.0,954
151,453595.1982182628,350000.0,675000.0,280000.0,515500.0,10000.0,16000000.0,449
152,585049.3462783172,540000.0,867400.0000000006,410000.0,689000.0,10000.0,5850000.0,1545
157,418173.88372093026,371000.0,649900.0,278250.0,516875.0,8400.0,3035500.0,602
158,426608.2038834951,340000.0,645000.0,236250.0,470000.0,15000.0,5497000.0,206
159,480997.25951557094,425000.0,760000.0,335000.0,570000.0,5000.0,3125000.0,867
164,468932.21927710844,430000.0,740000.0,325000.0,585000.0,200.0,1850000.0,415
171,701001.8325678497,619000.0,1150000.0,460000.0,820000.0,610.0,4450000.0,2395
187,376561.2648221344,327000.0,600000.0,240000.0,450000.0,19000.0,3850000.0,253
188,375553.7098765432,260000.0,539700.0,190000.0,360000.0,1000.0,13102000.0,324
192,281073.87005649717,190000.0,469700.0000000001,96000.0,350000.0,1000.0,9700000.0,177
199,409191.44329896907,370000.0,682000.0000000001,250000.0,500000.0,95000.0,2775000.0,97
207,1823738.3952445043,1440000.0,3126000.0,905000.0,2088000.0,830.0,15231171.0,2229
209,2150026.707026349,1550000.0,4100000.0,1020893.75,2700000.0,100.0,18250000.0,1594
210,3367316.465116279,2375000.0,6687500.0,1313750.0,4202500.0,2500.0,51000000.0,1376
214,718694.9924350557,680000.0,990000.0,550324.5,829997.5,7200.0,13310000.0,7006
216,725836.998046875,670500.0,1044000.0,560000.0,820000.0,3300.0,6500000.0,1536
217,781328.9540687161,705000.0,974199.9999999998,610000.0,815000.0,20500.0,12440000.0,2765
218,601270.3947157726,595000.0,780000.0,475000.0,685000.0,25000.0,3975000.0,2498
219,1436879.4001699234,715000.0,1750000.0,596000.0,1140000.0,5250.0,20184000.0,1177
220,776662.0604425257,727000.0,1058999.9999999998,542000.0,855000.0,5350.0,25333334.0,1853
222,438224.25907990313,365000.0,724400.0,273000.0,502500.0,5000.0,5000000.0,413
223,797421.1179608773,649900.0,1013700.0000000002,500000.0,820000.0,6400.0,11070000.0,3374
224,771214.7902173913,640000.0,928599.5999999999,516000.0,745000.0,5000.0,57750000.0,3680
226,814608.8809055118,690000.0,1342500.0,523750.0,960000.0,7500.0,7250000.0,1016
230,223948.27586206896,190000.0,403000.0,155000.0,263000.0,53000.0,550000.0,29
231,228188.59649122806,214500.0,373700.00000000006,141000.0,290000.0,8500.0,1550000.0,114
232,158450.0,120000.0,263500.0000000001,58750.0,187500.0,1000.0,900000.0,40
233,118437.5,150000.0,199500.0,37000.0,174375.0,7000.0,210000.0,8
234,148815.66757493187,125000.0,275800.00000000006,70000.0,190000.0,5000.0,690000.0,367
235,70463.75,39250.0,133000.0,19500.0,75750.0,225.0,565260.0,28
236,176494.05940594058,115000.0,360000.0,80000.0,228000.0,10000.0,1300000.0,101
238,196934.04255319148,110000.0,335999.9999999999,54000.0,170000.0,18000.0,2500000.0,47
239,95110.19354838709,66000.0,200000.0,27541.0,140000.0,1000.0,300000.0,31
240,205379.3103448276,160000.0,384500.00000000006,115000.0,217500.0,12500.0,1310000.0,58
243,165911.11111111112,145000.0,342000.0000000001,79500.0,200000.0,15000.0,500000.0,45
244,216967.94871794872,182000.0,425600.0,115000.0,280000.0,1000.0,600000.0,78
247,285751.8624338624,275000.0,505000.0,162000.0,390000.0,9000.0,690000.0,189
250,295306.5806451613,250000.0,483999.99999999994,178500.0,370000.0,8300.0,1650000.0,155
251,282971.05263157893,237500.0,462000.0000000002,161250.0,335000.0,3000.0,2000000.0,114
252,381739.5833333333,285000.0,625000.0,197500.0,432500.0,90000.0,2200000.0,48
253,91636.41791044777,60000.0,229599.99999999994,28000.0,133750.0,1000.0,320000.0,67
254,220344.8275862069,140000.0,453999.99999999994,100000.0,240000.0,30000.0,1085000.0,29
255,335946.1370967742,251000.0,643500.7000000001,160000.0,435000.0,25000.0,1475000.0,124
257,404341.72796934866,358000.0,644500.0000000001,276000.0,461500.0,25000.0,4000000.0,522
258,905338.4193974049,800000.0,1306400.0,592000.0,1010000.0,3600.0,10064000.0,4547
259,765838.8984354628,645500.0,1225000.0,500000.0,840000.0,3350.0,26000000.0,7670
260,1037620.3142462919,793250.0,1450000.0,625000.0,1035750.0,200.0,26000000.0,5798
261,748389.7708698922,625000.0,1015000.0,575000.0,800000.0,100.0,14800000.0,3989
262,274418.03004291846,222000.0,454000.00000000006,160000.0,324000.0,8500.0,1935600.0,233
263,314812.5356125356,280000.0,500000.0,205000.0,372500.0,6000.0,1730000.0,351
264,1245194.2764003673,890250.0,1851300.0,654374.5,1330000.0,2260.0,13950000.0,2178
265,307506.17898832686,267000.0,482000.0,190000.0,340000.0,78000.0,3290000.0,257
266,342497.0470852018,290000.0,560000.0,210000.0,395000.0,16000.0,3213000.0,446
267,1401247.9291078402,1275000.0,2250000.0,805000.0,1726001.0,9000.0,40500000.0,3329
268,495192.12437810947,450000.0,780000.0,330000.0,600000.0,1170.0,4025000.0,2613
269,477050.40823970037,380000.0,742480.0,231750.0,543750.0,10000.0,18000000.0,267
270,233504.9019607843,185000.0,290000.0,116000.0,241000.0,45000.0,2700000.0,51
271,1787254.2038140644,1550000.0,3000000.0,950000.0,2130000.0,100.0,24500000.0,5034
272,646015.2907431552,600000.0,1047000.0000000005,395000.0,775000.0,1700.0,3200000.0,1534
273,449569.65348399244,370000.0,760000.0,265000.0,545000.0,11100.0,4300000.0,531
274,310086.84567901236,276500.0,490000.0,199125.0,384500.0,15000.0,2000000.0,324
275,388811.96750902524,355000.0,620000.0,271500.0,471250.0,5676.0,2300000.0,1108
276,954236.6605915745,798000.0,1465000.0,650000.0,1100000.0,100.0,26000000.0,3347
300,289265.7894736842,210000.0,436999.99999999994,138000.0,300000.0,8500.0,2315000.0,57
301,257371.5976331361,220000.0,422000.0000000002,150000.0,310000.0,8500.0,1300000.0,169
302,241096.15384615384,212500.0,389500.0,160000.0,283375.0,5000.0,1610000.0,182
303,467116.97389885806,415000.0,705000.0,310000.0,545000.0,10000.0,2850000.0,1226
511,372948.62974683545,342000.0,597500.0,240000.0,475000.0,49167.0,3105000.0,316
526,575712.0555555555,447500.0,978000.0000000001,314375.0,600000.0,30000.0,3975000.0,162
528,716055.463576159,632500.0,1173500.0000000005,447750.0,906750.0,2000.0,3700000.0,302
529,509127.5754339119,450000.0,815000.0,350000.0,608000.0,12200.0,1800000.0,749
537,219816.091954023,160000.0,346000.0000000005,105000.0,250000.0,10000.0,2060000.0,174
538,322226.0317460318,285000.0,555500.0,200000.0,365000.0,8920.0,1687625.0,126
560,309932.43137254904,241000.0,647600.0000000001,173250.0,361250.0,5000.0,2378504.0,204
575,416885.70365699875,367500.0,654500.0,265000.0,483500.0,14750.0,3550000.0,1586
608,477295.9366197183,450000.0,720000.0,332250.0,570000.0,100.0,2800000.0,994
620,476510.5054200542,429750.0,744050.0000000006,320500.0,551500.0,30000.0,2502000.0,738
656,599558.1971014492,540000.0,895500.0000000007,417250.0,670000.0,2750.0,6150000.0,2070
666,388667.84129554656,345000.0,650000.0,241250.0,475000.0,500.0,2200000.0,1235
708,1394702.3854989232,1020000.0,2295000.0,732630.0,1486250.0,500.0,33000000.0,5572
902,9536665.333333334,14299998.0,14299998.0,7154999.0,14299998.0,10000.0,14299998.0,3
